"Temple ID","Name","Registration Number","Grade","Primary Deity","Tradition","District ID","Temple Status","Trust Registered","Pending Declarations","Overdue Declarations"
"1","Sri Siddeshwara Swamy Temple","","A","","SHAIVITE","1","ACTIVE","true","0","0"
"2","Sri Veerabhadra Swamy Devasthana","","B","","SHAIVITE","1","ACTIVE","false","0","0"
"3","Sri Someshwara Kshetra","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"4","Sri Mallikarjuna Swamy Mandir","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"5","Sri Brahmeswara Pranadharana Temple","","B","","SHAIVITE","1","ACTIVE","false","0","0"
"6","Sri Parameswara Temple","","C","","SHAIVITE","1","ACTIVE","true","0","0"
"7","Sri Ishwara Swamy Temple","","C","","SHAIVITE","1","ACTIVE","true","0","0"
"8","Sri Venkateswara Devasthana","","C","","VAISHNAVITE","1","ACTIVE","false","0","0"
"9","Sri Ranganatha Swamy Kshetra","","C","","VAISHNAVITE","1","ACTIVE","true","0","0"
"10","Sri Narayana Mandir","","A","","VAISHNAVITE","1","ACTIVE","true","0","0"
"11","Sri Kesava Pranadharana Temple","","A","","VAISHNAVITE","1","ACTIVE","false","0","0"
"12","Sri Lakshmi Narasimha Temple","","B","","VAISHNAVITE","1","ACTIVE","true","0","0"
"13","Sri Trivikrama Swamy Temple","","B","","VAISHNAVITE","1","ACTIVE","true","0","0"
"14","Sri Madhava Devasthana","","B","","VAISHNAVITE","1","ACTIVE","false","0","0"
"15","Sri Chamundeshwari Kshetra","","B","","SHAKTA","1","ACTIVE","true","0","0"
"16","Sri Durgadevi Mandir","","C","","SHAKTA","1","ACTIVE","true","0","0"
"17","Sri Annapurneshwari Pranadharana Temple","","C","","SHAKTA","1","ACTIVE","false","0","0"
"18","Sri Parshwanatha Temple","","C","","JAIN","1","ACTIVE","true","0","0"
"19","Sri Ganesha Swamy Temple","","C","","OTHER","1","ACTIVE","true","0","0"
"20","Sri Shiva Devasthana","","A","","SHAIVITE","1","ACTIVE","false","0","0"
"21","Sri Siddeshwara Swamy Temple","","A","","SHAIVITE","1","ACTIVE","true","0","0"
"22","Sri Veerabhadra Swamy Mandir","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"23","Sri Someshwara Pranadharana Temple","","B","","SHAIVITE","1","ACTIVE","false","0","0"
"24","Sri Mallikarjuna Swamy Temple","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"25","Sri Brahmeswara Swamy Temple","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"26","Sri Parameswara Devasthana","","C","","SHAIVITE","1","ACTIVE","false","0","0"
"27","Sri Ishwara Kshetra","","C","","SHAIVITE","1","ACTIVE","true","0","0"
"28","Sri Venkateswara Mandir","","C","","VAISHNAVITE","1","ACTIVE","true","0","0"
"29","Sri Ranganatha Swamy Pranadharana Temple","","C","","VAISHNAVITE","1","ACTIVE","false","0","0"
"30","Sri Narayana Temple","","A","","VAISHNAVITE","1","ACTIVE","true","0","0"
"31","Sri Kesava Swamy Temple","","A","","VAISHNAVITE","1","ACTIVE","true","0","0"
"32","Sri Lakshmi Narasimha Devasthana","","B","","VAISHNAVITE","1","ACTIVE","false","0","0"
